""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"
"otu35"	9917	9987	10162	9993	9898	9829	9755	9993	10040	10090	10004	10044	10004	10119	9979	10088	9961	10198	10117	9911	10049	9855	10129	10040	10075	10005	10008	10114	10043	9913
"otu36"	9941	10160	9867	10324	10089	10295	9985	10094	10077	10112	10012	10042	10028	9937	9902	10138	9914	9971	10197	10066	10044	9733	10115	9991	10144	10033	10049	10088	10041	10005
"otu37"	10070	10072	9920	9880	9910	10021	9852	10003	9939	10090	10078	10155	10020	9893	10040	9910	10191	10030	10014	10079	10028	10160	9920	10018	10090	10089	10029	10142	9988	9823
"otu38"	9979	10016	10024	10206	10023	10054	9961	9950	10079	10057	10032	9848	10081	9993	9910	10091	9938	9984	10015	9921	10142	10117	9909	10178	9847	10037	9962	10076	10061	10064
"otu39"	9951	10015	10012	9882	10006	9976	10054	9887	10087	9985	10023	9849	10077	10042	10042	9946	10022	9867	10100	10111	9828	9718	10159	9961	9856	9932	9947	10145	10112	10045
"otu4"	9848	9879	9992	10002	10008	10021	9976	10262	10005	9970	9809	10166	9836	10232	9876	9936	9999	9908	9926	10118	10010	10088	9893	10055	9929	9996	10119	10057	10268	9961
"otu40"	9970	10257	9971	9975	9917	9980	9936	10121	10062	10172	10078	10004	10018	10071	10024	10129	10276	9980	10077	10061	9984	9910	9993	9993	9803	9947	9953	10039	9995	10099
"otu41"	10062	10030	9760	10024	9960	10027	9768	9864	10076	9986	10057	10090	9972	10111	10054	10060	9915	9885	9986	9902	9945	9870	9950	9924	9848	9995	10036	9910	9994	10206
"otu42"	9930	9890	10114	10027	10151	10032	9974	10135	9903	9885	10195	9940	9851	9934	10049	10131	10002	10021	10054	10104	9974	9995	10093	9993	10090	9907	10124	9983	10002	9938
"otu43"	10012	10119	10063	9868	9997	9879	10071	9949	9979	10138	9998	9927	9954	10154	9813	10073	9977	9891	9881	9880	9738	9946	9844	9878	9855	9855	9864	10142	9998	10080
"otu44"	10000	10078	10036	10095	10239	10083	10016	10107	9902	9913	10044	10078	10057	10107	10084	10087	9786	10035	10090	10103	9884	10042	9818	10032	9922	9874	10146	10064	10144	10128
"otu45"	10014	9963	10266	9969	10082	9980	10015	9753	9907	10092	9967	10055	10026	9892	10051	9917	9995	10031	9937	10016	10056	10143	10117	9920	10168	10047	10137	9865	9919	10022
"otu46"	10042	9942	10009	9893	10006	9891	10008	9976	10029	9937	10007	9769	10054	10163	10101	10284	10056	10011	10146	9967	9898	9862	10159	10087	10017	10063	9965	9830	9800	10076
"otu47"	9962	9953	9989	9867	10005	10082	10068	9966	10044	10051	9988	10214	10055	9996	9773	9956	9895	10081	10105	9981	10077	10005	10257	10116	10092	9981	10074	9853	9973	9930
"otu48"	10063	10011	10035	9962	9920	9946	10066	9996	9864	9984	9913	9926	9927	9922	9955	10151	9991	9888	9937	10009	9938	10079	9886	10090	9850	10112	10298	10000	10075	9911
"otu49"	10048	10024	10037	10114	10027	10082	10070	10049	9929	9990	10134	10067	10051	9958	9865	9969	10108	10039	9915	9911	9830	10095	10011	10009	9932	10010	10075	9907	9947	10036
"otu5"	9863	9910	9907	9876	10024	10164	9999	9832	10023	9982	9954	10070	9952	10007	9971	10202	10274	10026	10013	10035	10089	9985	10184	10274	9934	10056	10183	10004	10001	10037
"otu50"	10147	10133	9940	10014	10090	9861	9840	10053	10078	9991	10110	9959	9992	9918	10079	9922	9989	9974	10184	9865	10052	9909	9890	10014	9933	10032	10037	9979	10009	9953
"otu51"	10134	10145	10068	10147	9994	9751	9940	9999	9984	10039	10162	9942	9907	9977	9991	10098	10028	9929	10084	10162	10100	9861	9902	9881	9951	9916	9900	9889	9880	10060
"otu52"	10027	9978	9785	9953	10092	9878	9890	10227	10048	9870	9965	10150	9963	10051	10083	9923	9869	9960	10060	10162	10027	10077	9961	9944	10126	10091	10034	9955	10067	10053
"otu53"	10064	9993	9941	10101	9884	10034	10182	9878	10003	10085	10040	9977	10041	9935	10204	9873	10032	10212	10006	9995	9955	10113	10094	9932	9984	10094	9978	10186	10024	9994
"otu54"	10230	9910	10036	10094	9968	9923	9949	10082	10094	9858	10088	9976	9910	10070	9939	9945	9965	10020	10025	9951	10013	10028	9901	9873	9805	10077	9991	10030	10065	9940
"otu55"	9990	9918	10086	9940	9948	10121	9934	9923	10132	10060	9762	9802	9916	10054	10030	9970	10205	9969	9803	10106	10062	9949	10028	9915	10010	9801	9878	10072	10169	9982
"otu56"	10000	9868	9925	9948	10012	10064	9954	9972	9946	9994	9870	10044	10041	9922	10109	10055	9955	9948	9947	10092	10099	9876	10041	10142	10148	9901	9906	10004	9905	10039
"otu57"	10168	9961	10021	9847	10032	9946	10104	10212	10175	9952	9872	10017	9915	9926	10037	10007	9849	9945	9865	9845	9906	9923	9941	9990	9888	10155	10114	10119	10118	10093
"otu58"	9943	10127	10002	9861	10011	10212	9853	10113	10112	9931	10096	10123	10159	10079	9977	10042	9945	10013	9909	9948	10053	10056	9998	9978	10001	9947	10037	9970	9962	9836
"otu59"	9918	10069	10041	10140	10152	9827	10098	10034	9991	9992	9989	9997	9837	10173	10192	10135	9892	9802	9959	9875	10106	9892	10022	10061	10194	10139	9901	9986	10106	9872
"otu6"	9968	10204	9936	9969	10006	10019	10006	9994	9968	9756	10010	9973	10079	9817	10063	10080	9884	9946	10015	10005	9979	9893	10022	10011	10074	9964	9922	10096	9830	10059
"otu60"	10120	10023	9967	9947	9944	10034	10108	9911	10047	9932	9896	10149	9917	9989	10034	9914	9965	9980	9951	9905	9976	10101	10109	9920	9875	9911	10238	9882	10122	10098
"otu61"	9983	10009	10144	9970	10078	9988	9872	10049	10084	10211	10071	9958	10158	10179	9969	10085	10047	9943	9994	10142	9773	10136	10085	9872	9886	10114	10078	9939	10082	9990
"otu62"	10052	10014	9863	10138	9841	10144	10167	9933	9824	10059	10112	9846	9891	9863	9869	10081	9921	9914	9818	10051	9973	10159	10080	10132	10109	9937	9959	9977	10026	9974
"otu63"	10242	9812	9945	10157	9878	10059	9930	9984	10178	9979	10035	10112	9958	9983	9869	10020	10154	9897	9841	10058	9976	9979	9960	10027	10089	9944	9916	10175	9957	10031
"otu64"	10142	9887	9983	9844	10057	10107	10000	10146	10186	9856	10025	9920	9944	9914	10022	10033	10173	10146	10002	10205	10151	10000	10000	10040	9835	10051	10112	10005	10030	10040
"otu65"	10110	9836	10056	10095	10155	9887	9954	10021	10054	10138	10022	9925	10018	10075	9859	9974	10130	10199	9917	9961	9833	10009	9926	10003	9859	9988	9856	10062	9966	10150
"otu66"	9958	10133	10025	9821	9949	9904	10161	10060	10041	9930	10040	10215	10079	10130	10048	9901	10144	9963	10081	9853	10083	9950	10020	10022	10121	9995	9961	9862	10099	10136
"otu67"	9898	10176	10039	10081	10024	9894	10089	9935	9951	10073	10137	9883	10056	9885	10002	9900	9883	10040	9962	10054	9935	10075	9972	10043	9784	10032	10007	9851	10074	10056
"otu68"	9873	9906	9936	9914	10005	9897	10140	10011	10097	9978	9976	9926	10022	10014	9928	10070	10032	9869	10056	9784	10076	9988	10033	9999	9999	9874	9936	9863	9975	10008
"otu69"	10130	9786	10081	10032	9999	9892	9971	9965	9890	10039	10123	10273	10093	9960	9935	10042	10018	9991	9906	10109	10099	10034	10077	10027	9941	10025	10293	9932	9804	9959
"otu7"	9947	9877	10057	10049	9952	10034	10046	9936	9902	9770	9976	9925	9773	9947	9914	10084	10105	10043	9959	10062	10115	10030	10049	10051	9837	10019	9890	10214	9985	9954
"otu70"	9881	10103	9863	9918	10051	9884	10146	10162	9975	10004	10062	10014	10183	10065	10000	10126	9900	10096	9842	9971	9946	9937	9933	10011	10133	10084	9967	10066	10040	9980
"otu71"	9923	10003	9903	10149	10000	10068	9953	9887	9927	9961	9927	9934	9902	10015	9986	9857	9908	10236	10001	10033	9943	10014	10076	9943	9958	10102	9838	10052	9813	10078
"otu72"	9940	10128	9965	9988	10149	9934	10008	10134	9953	9906	10098	9853	9960	9896	10082	10020	10024	9937	10000	9905	9971	10084	9988	9979	10077	9920	10083	10004	9965	10020
"otu73"	9906	10141	10187	10261	9907	10059	9885	10072	9974	9895	10056	9954	10001	10053	10027	9947	9937	9853	9913	9957	9955	10039	9862	10118	10018	10112	9923	10182	9934	9938
"otu74"	10074	9873	10129	10027	9937	9786	9970	9919	10035	10141	9959	9945	9949	9964	9790	10070	9953	9963	10103	10075	10144	10024	10036	9916	9989	10154	10030	10000	9935	9847
"otu75"	9864	9956	9977	9950	9928	10024	9913	9946	10012	9846	9988	9924	9929	10030	10069	9917	9841	10082	9940	10016	10082	10042	10124	10050	10036	9935	9962	9905	9904	9991
"otu76"	9872	10066	10145	9888	9857	10029	10126	9956	10033	10169	9986	9977	9950	9793	9978	9983	10004	9873	9898	9811	10008	10149	9967	9999	9909	10153	9855	10033	9916	10032
"otu77"	9952	9905	9999	9883	10004	9984	10142	9885	9969	10065	9956	10062	9953	9900	9988	10052	10021	10161	10103	10016	9829	9915	9850	9926	10086	10083	10000	9990	9975	10001
"otu78"	10160	10093	10193	9959	9864	10070	10184	9971	10000	10041	9840	9952	10039	10086	10158	9846	10183	9765	9932	10039	9895	9901	9852	10060	10208	10133	9786	9959	9989	9960
"otu79"	9964	10009	10198	9963	9896	10121	10084	9961	10046	9841	10155	10138	9978	10086	9919	10046	9914	9951	10244	10139	10078	9980	9888	10094	10023	9950	9894	9914	10055	10306
"otu8"	10207	9862	9933	9784	9921	10110	9988	9988	10074	9929	9984	9867	9874	9936	9901	10008	10134	10175	9985	10062	9951	10124	10087	10139	10017	9933	10000	10067	10028	9953
"otu80"	10114	9879	9993	10137	9861	9908	9982	10144	10025	10025	10006	10069	10092	10005	9927	9942	9932	9970	9959	9963	9961	10016	9970	10147	10051	9913	10094	9989	10082	10032
"otu81"	9967	10033	9995	9905	10078	10193	10089	10047	9956	10065	10003	9747	9948	9871	10073	9952	9910	10107	9869	9781	10219	9893	9941	10114	9960	9773	9920	9984	10000	9856
"otu82"	9938	10017	10055	10122	10005	9953	9961	9920	10046	10091	10008	9953	9983	9975	10160	9948	10078	10097	10082	9975	9963	9988	10058	10004	10161	9775	10017	9996	9983	10022
"otu83"	9821	9807	9898	10005	9994	10008	9949	9842	10134	10077	10136	9994	9815	10080	10287	10005	9956	9973	10040	9961	9871	9986	10005	9902	10107	9908	10006	10046	9966	9801
"otu84"	9993	10133	10073	9811	10178	10267	9955	10048	10125	9883	9901	9840	10002	10034	9873	9962	10034	9973	9905	9918	9978	10027	9856	10013	9987	9874	9964	9973	10107	10004
"otu85"	9968	10130	9922	9948	9827	9725	9947	10188	9897	10055	9908	10057	9971	9989	10123	9980	9884	9906	9993	9940	9938	10080	10105	9939	10227	10150	9972	9905	10202	9899
"otu86"	9911	10008	10141	10085	9901	9899	9962	10109	9904	10108	10061	9931	9969	9901	9817	10056	9867	10169	10160	10089	10037	10114	9974	10223	10051	10189	10080	9962	10046	10063
"otu87"	9933	9835	9971	10062	10004	10005	9999	9909	9916	9852	9921	10060	10099	10092	9919	9985	9968	10021	10106	9852	10002	9903	10189	10016	10150	9970	9897	9927	9970	10048
"otu88"	10115	9934	9990	10101	9987	10077	9912	10085	10079	10056	10180	10126	10001	10050	10026	9934	9964	10044	9998	10054	9924	10137	9956	9772	10137	9758	9961	9876	9900	9907
"otu89"	10071	9991	9901	9755	10161	9844	10044	9805	10025	10003	9984	10031	10121	9836	9868	9898	9841	9889	10112	10086	9880	9950	9945	9878	10012	9880	10155	10054	9838	9940
"otu9"	9788	10018	9932	10099	10033	10132	9980	9960	10084	10056	9942	10129	10061	10050	10178	9778	9857	9977	9957	9957	10112	9828	10033	9959	9981	10076	9862	10107	9989	9960
"otu90"	10018	9950	9909	10226	10092	9928	10113	10118	9865	10108	9967	10019	10021	9996	10150	10055	10045	9961	9917	10064	10161	9806	9797	9874	10014	10182	10025	9994	10064	9900
"otu91"	9997	10244	9951	10093	9917	9994	9991	10052	9922	9979	9917	9901	10019	9990	9943	10080	9933	10027	10070	9810	9940	10150	9904	9863	9961	10091	10022	9705	10063	9956
"otu92"	10004	10131	9979	9947	9869	10031	9973	10026	9940	9835	9920	10118	9995	9940	9975	10045	9873	9832	9793	10027	9930	10093	10016	10027	9974	9878	10114	10069	10030	9971
"otu93"	9965	9983	10136	9983	9889	9791	9925	10092	10045	10000	10087	10022	10157	10109	9821	9926	9863	10002	10048	9992	10179	9983	9875	9999	9906	10133	9883	10122	9980	10337
"otu94"	9791	9969	10051	9983	10029	10007	10085	9822	9770	9945	9943	10029	9913	9908	10043	9958	9953	9941	10061	9902	10079	9939	9973	9847	10040	9933	9983	10039	9871	10050
"otu95"	9927	10013	10001	9937	9913	9984	9911	9978	10076	9965	10080	9830	9880	10103	10072	10103	10026	9979	10262	10186	9838	9935	10060	10102	10013	9956	9915	10008	10079	9958
"otu96"	9927	10069	9993	9948	10066	10117	9932	10183	9887	9922	9975	10148	9923	10042	10071	10053	10034	10134	10115	10185	9879	9909	10206	10137	9831	10008	9992	9971	9929	10089
"otu97"	10058	9992	9975	9948	10160	10014	10126	9744	9862	10071	9767	9968	10091	9913	9968	9848	10108	10061	10069	10024	10068	10013	10098	9935	9986	9950	9940	10158	10185	9869
"otu98"	9947	9917	9957	9947	10051	10319	10068	9973	9862	9992	10045	9837	9950	10022	10015	9887	9988	9897	10047	9961	9892	9844	10017	9996	10280	9980	10023	9848	9774	9905
"otu99"	9967	9979	9845	10052	9976	9946	10002	10058	10005	9901	10003	10007	9864	9898	10035	10070	10087	9775	9972	10031	10029	9991	10053	10139	9958	10024	10044	10052	10032	10055
