""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"
"otu119"	205	438	668	985	625	866	368	117	642	523	1965	617	1626	1878	1808	970	634	72	1010	801	183	327	258	728	44	645	625	463	1137	198
"otu12"	107	700	839	3015	369	5666	554	906	225	404	500	274	1134	1911	1111	542	149	510	586	5937	1175	2716	730	479	905	256	1289	491	996	224
"otu120"	207	383	2029	524	1043	6396	5159	460	985	250	712	253	426	310	110	427	621	216	4268	385	943	724	304	1286	2510	1856	301	226	1738	268
"otu121"	1002	933	358	126	324	2464	1268	2037	701	1056	522	362	3118	1459	67	226	1208	732	429	1308	2376	3354	668	524	389	182	811	2594	2089	339
"otu122"	209	335	364	349	2556	584	403	794	194	913	166	732	1239	317	1063	320	1259	302	257	3889	654	2211	843	238	134	438	111	838	355	158
"otu123"	276	496	340	736	481	1762	1599	1739	513	475	2583	1114	105	783	1018	713	288	886	115	566	150	205	426	881	441	94	2848	99	491	1416
"otu124"	525	1103	148	1613	1058	729	775	242	333	1238	368	93	2977	1598	3654	1916	540	2189	2843	1746	199	73	889	133	343	145	2017	165	568	1157
"otu125"	273	991	524	8273	603	414	394	711	4949	1016	509	2083	659	1717	133	5943	135	364	1991	811	278	479	2278	3690	500	927	135	116	4534	96
"otu126"	263	621	458	803	339	235	1525	707	2785	882	424	2016	3675	238	686	133	2902	168	2446	188	995	268	516	256	160	290	187	564	399	752
"otu127"	561	545	385	2528	208	3048	542	428	3910	797	1273	425	6631	487	2430	560	7696	4546	2720	1639	598	504	4268	1075	2003	2729	296	124	8308	1038
"otu128"	3954	323	209	321	5344	1622	635	595	246	989	400	104	163	674	232	2037	113	251	234	99	1066	1617	1806	698	474	2036	969	1110	2209	329
"otu129"	671	6008	266	104	270	262	577	593	118	662	1915	386	306	756	2511	216	1107	1368	1085	1176	809	486	350	1082	708	1176	724	559	1220	378
"otu13"	89	85	245	713	823	173	303	1528	1251	748	856	584	533	2173	370	423	584	1137	1353	98	379	213	1374	2173	417	133	1279	771	966	580
"otu130"	788	292	209	180	123	790	184	340	929	4205	392	873	675	3665	640	128	368	704	415	218	457	731	407	695	224	442	425	504	1834	959
"otu131"	679	860	90	282	1203	247	448	1475	239	282	712	216	449	1143	702	333	47	82	97	344	177	1779	2539	845	140	280	1352	294	323	1539
"otu132"	683	246	1974	217	22064	150	1655	505	1031	78	347	552	114	1052	192	6528	420	137	143	438	140	153	352	441	111	3975	250	456	937	540
"otu133"	972	1043	852	268	224	983	623	456	185	1551	294	1463	673	1562	276	73	403	526	744	292	1291	1703	383	43	1219	454	192	1039	950	812
"otu134"	295	1749	1150	7270	454	883	1063	261	775	461	99	370	441	1403	777	2578	2189	245	916	750	553	279	231	4585	225	1674	1696	1107	190	1827
"otu135"	247	1577	407	151	307	1384	409	381	1477	616	1787	1109	1574	1421	633	271	91	353	1757	50	728	299	1472	672	296	1103	1901	2275	253	249
"otu136"	161	804	371	2949	770	1641	3477	1268	4115	587	2097	240	1589	977	274	366	189	949	560	220	366	323	321	3365	512	2292	445	554	300	90
"otu137"	892	130	1632	860	774	1553	163	1472	308	602	2075	675	244	265	469	97	127	500	354	1321	4743	804	999	99	1453	1872	2209	1125	1783	763
"otu138"	191	1765	2971	949	491	2288	167	128	339	870	1064	3268	528	316	696	828	118	218	1766	733	137	519	652	574	2017	82	129	256	720	442
"otu139"	261	161	1644	1416	671	1455	263	634	513	1331	454	233	231	163	1594	1169	507	4155	86	2934	190	201	8233	1211	1313	822	2661	372	1143	205
"otu14"	4951	1717	214	534	384	632	2288	1368	94	862	814	3036	84	436	2065	1299	1314	172	3128	380	857	1532	511	346	253	1784	915	224	321	275
"otu140"	400	2184	180	268	592	127	590	402	1683	307	392	1863	758	583	475	232	200	1047	651	388	270	355	349	414	1415	1429	333	1528	2852	329
"otu141"	2316	189	2851	408	165	94	2261	264	1525	281	251	501	141	1645	455	396	381	413	1545	231	209	325	1735	1252	1482	1701	230	1810	2970	1706
"otu142"	1283	2041	622	454	660	165	1323	387	159	379	1120	2789	3882	622	6166	194	822	449	872	936	673	1057	172	1955	272	431	759	202	202	813
"otu143"	199	1343	1678	513	1166	358	199	657	741	628	1501	433	63	1149	867	1859	316	197	1229	1642	500	125	947	131	646	1008	900	1670	1439	1040
"otu144"	559	438	1824	233	109	284	76	1331	7112	1818	275	154	657	287	1437	227	1530	158	139	685	723	419	648	345	689	427	163	374	309	807
"otu145"	386	114	762	282	2283	1522	1001	329	2684	374	930	60	255	336	1075	892	735	400	115	3295	63	868	265	748	541	3672	722	540	583	134
"otu146"	388	2756	218	325	208	409	125	22	2755	3607	3470	1371	1149	2229	3005	902	349	350	1621	4290	294	992	2878	466	175	796	1345	10818	206	263
"otu147"	175	178	367	736	2014	2989	582	1545	1006	300	477	290	158	1121	2399	908	409	520	4192	1065	1573	195	691	471	248	307	312	585	4592	1194
"otu148"	669	185	2054	2900	295	259	1135	446	327	127	217	457	21	352	353	375	517	1886	477	430	116	1061	272	1229	581	1354	1915	169	1495	120
"otu149"	286	75	847	246	455	237	696	1726	1339	50	661	1109	258	1514	369	2249	277	2352	754	530	1391	300	851	274	612	1082	988	705	808	2398
"otu15"	411	733	631	2212	1071	733	1604	1649	113	1715	2015	309	1344	177	496	873	344	279	3132	351	2155	550	731	905	946	351	1331	304	173	637
"otu150"	332	1348	205	866	1045	631	1541	495	690	70	1067	3383	276	728	953	64	223	963	607	508	1933	1028	9677	512	346	212	3913	1040	629	566
"otu151"	294	1778	41	510	2003	231	415	369	617	419	1064	429	267	332	284	4351	338	1472	270	1702	307	1278	285	863	4056	706	667	325	4872	883
"otu152"	440	725	2532	1045	154	725	475	993	243	964	950	3559	240	429	340	707	1120	685	497	376	413	237	433	1259	487	1208	2370	220	128	388
"otu153"	196	1020	1481	158	320	1868	220	4373	1127	861	1552	598	2557	2724	4229	2617	1466	510	399	595	917	256	1530	2174	381	494	627	135	293	552
"otu154"	630	647	4867	346	1001	382	571	66	106	4165	1016	556	441	684	302	122	507	289	861	65	311	2209	601	439	304	995	449	1142	414	1856
"otu155"	654	563	2911	436	2312	373	1899	1006	51	307	715	486	399	927	3382	4714	6260	344	2165	690	88	180	1114	58	478	534	441	345	369	635
"otu156"	829	887	274	698	461	971	319	9312	944	146	1126	1171	207	377	1584	804	668	703	753	2132	1229	483	333	626	489	328	213	880	115	31
"otu157"	554	2141	192	421	76	681	2915	2117	225	410	604	562	1464	1121	657	1047	977	1185	927	507	373	436	1667	771	567	297	201	561	215	535
"otu158"	265	3367	1544	1407	481	309	249	938	581	735	176	242	493	714	2563	983	4066	1820	235	403	231	163	272	1175	520	354	237	2123	1709	467
"otu159"	1402	400	780	1090	683	1442	1875	629	6035	2002	554	454	693	504	411	282	3217	503	334	349	327	274	487	103	305	320	267	1496	635	207
"otu16"	108	845	715	436	274	171	1469	303	404	513	2530	515	418	422	2106	209	785	921	944	780	464	596	4372	430	268	177	919	624	1144	686
"otu160"	584	1486	1422	1065	592	968	171	406	858	10318	404	500	1142	1216	1093	263	983	3775	1084	665	409	1271	132	947	1506	1332	1649	143	151	134
"otu161"	325	370	540	98	203	196	1353	324	461	87	127	279	185	281	2447	64	287	5256	377	63	161	6254	555	418	821	572	277	3392	703	2145
"otu162"	287	421	545	830	168	244	658	196	1280	501	752	4438	1398	458	587	361	588	600	1868	80	384	665	358	332	1100	878	440	1284	399	252
"otu163"	899	3775	812	389	290	1412	354	694	472	727	3965	1165	707	933	3545	1138	1458	402	451	2695	370	100	1200	310	357	353	1324	309	382	902
"otu164"	135	1587	269	832	602	670	3560	629	905	377	499	468	1155	2163	166	249	562	140	196	695	315	498	1210	282	349	1342	775	404	72	3084
"otu165"	1152	161	837	131	736	297	348	514	767	1560	472	262	102	603	6230	761	89	196	1095	208	1548	135	767	557	2961	1830	294	770	967	1224
"otu166"	438	249	127	671	2159	1125	85	1613	1623	63	232	1580	849	819	488	536	493	131	118	5421	265	9159	303	833	277	456	554	1099	134	192
"otu167"	1088	446	513	407	900	4120	161	463	249	599	1256	3768	73	6263	126	281	155	953	311	281	1098	1868	123	2105	1077	1769	1133	234	1211	663
"otu168"	597	956	414	4526	139	52	327	360	1890	1061	694	722	297	584	1692	127	2233	311	1287	366	446	542	169	809	824	80	230	159	3224	965
"otu169"	283	335	184	3849	351	1937	2446	371	1565	479	916	628	321	935	4873	891	475	1256	282	250	251	5510	1139	540	246	1056	2105	4540	892	205
"otu17"	421	566	345	52	214	657	928	2444	177	103	1962	254	752	328	503	2573	848	1142	367	22	189	4737	273	205	327	423	1159	1341	138	648
"otu170"	839	687	1491	1037	985	508	230	224	444	1189	1468	674	112	1520	3943	439	289	242	1617	509	637	855	633	1795	151	88	223	756	3427	1640
"otu171"	870	763	250	1348	500	848	2781	647	557	4515	318	608	294	601	6286	251	484	1063	1046	8146	241	584	164	374	286	429	2273	587	705	83
"otu172"	224	796	477	178	1217	2358	2460	282	1862	1242	438	273	904	1633	332	1004	827	210	225	1120	1100	220	216	2210	604	3491	636	653	998	210
"otu173"	483	456	188	186	1238	387	258	635	1698	575	1086	1585	892	1792	412	798	2740	599	117	1253	1334	400	201	768	131	284	2299	4255	425	1115
"otu174"	241	1308	2191	149	477	4329	1439	347	98	1806	1333	455	569	1265	145	288	884	185	2624	2212	358	700	5871	734	2362	75	327	1869	1531	637
"otu175"	706	344	1034	1596	793	303	298	2489	1412	156	142	153	1447	917	2890	821	228	341	390	2322	300	365	128	315	409	1522	1613	894	478	1301
"otu176"	60	494	480	1605	3514	109	626	1478	628	867	4100	207	288	544	123	896	1092	236	407	632	279	106	304	84	122	1035	119	296	1831	334
"otu177"	2655	838	954	251	620	426	150	3125	205	190	3697	439	1642	1350	5422	4197	523	2762	1670	624	257	624	1303	843	192	150	1644	55	2045	1563
"otu178"	905	207	1068	824	391	1964	110	298	4046	1500	690	2906	69	392	1156	1786	985	131	227	2585	86	944	362	715	495	983	449	2698	1492	553
"otu179"	109	460	560	402	388	685	1958	100	1230	812	6494	777	281	189	259	4400	3974	877	151	1505	249	347	430	363	1153	1401	905	3148	510	311
"otu18"	1506	101	505	3270	2211	445	1192	151	1113	202	661	975	1017	890	1356	1511	754	4243	258	2032	1699	4001	1825	667	3677	272	746	4290	3317	930
"otu180"	713	1654	831	429	1081	178	623	575	970	273	2095	968	155	408	168	423	641	355	1448	455	151	337	520	176	1099	101	144	1915	550	163
"otu181"	518	192	2849	254	1147	297	2623	385	686	471	711	1315	1387	296	321	187	892	589	207	1245	255	1582	287	325	198	409	3188	877	645	314
"otu182"	446	333	59	190	55	1332	497	671	904	310	736	743	1970	947	1533	1065	1178	600	84	248	124	283	79	839	1330	877	608	982	1254	310
"otu183"	312	965	390	1638	2018	2018	236	104	474	906	907	210	820	603	1878	548	744	665	307	649	2487	766	392	585	535	314	262	930	1924	214
"otu184"	617	1143	2272	1055	499	135	439	174	213	621	579	602	4391	1801	423	1750	643	387	414	461	281	2210	2252	117	255	1354	1220	1153	254	725
"otu185"	254	2079	487	3423	1502	110	508	1409	528	1257	278	520	2094	1576	392	368	421	254	225	236	197	386	842	225	1442	634	678	1098	1477	323
"otu186"	803	689	164	207	295	1873	980	1656	1162	1012	334	811	713	1016	1370	781	315	1069	3870	231	164	1115	275	682	494	945	1960	973	291	408
"otu187"	1604	188	1835	676	210	555	505	563	288	84	155	782	372	141	588	123	2434	837	571	668	1928	1081	660	210	1294	1127	1263	140	77	185
"otu188"	679	520	868	873	462	195	1839	1895	1667	235	80	3257	475	2508	438	1114	873	1687	106	93	3432	158	1001	268	818	5159	2351	3019	106	537
"otu189"	507	380	5352	253	688	1354	361	275	1425	54	1359	1825	36	629	813	865	3010	473	634	3335	501	985	488	391	548	257	941	340	794	635
"otu19"	4196	1151	1060	509	131	507	354	720	265	704	634	654	1692	321	324	490	3563	324	166	125	188	261	9594	5180	221	37	174	693	544	185
"otu190"	275	739	923	996	902	608	526	1322	370	3313	977	688	807	201	158	1264	362	1701	2281	2440	1071	467	69	239	55	560	1367	1783	1814	369
"otu191"	1024	858	879	357	736	193	1524	436	307	382	1232	254	253	296	536	113	2544	712	1157	282	4302	777	4688	873	154	2438	322	121	1518	1085
"otu192"	222	380	1123	514	1217	1562	5486	731	515	165	450	1625	1492	1090	699	1032	724	410	59	5760	599	467	369	119	323	912	863	996	1100	628
"otu193"	634	425	512	2534	156	208	503	216	3434	294	275	1562	130	2070	2276	992	795	692	192	342	2880	1256	84	384	158	1136	4921	287	247	1155
"otu194"	183	423	1145	405	2424	1515	440	394	3036	1976	226	895	5419	1827	797	718	3406	855	170	1483	259	862	2777	854	4117	959	705	852	1130	472
"otu195"	1389	1860	4168	1897	809	59	1115	574	865	468	92	196	44	979	4150	379	2204	1103	837	992	431	1014	2646	431	1249	610	659	531	306	3120
"otu196"	577	920	9719	460	2491	1130	1776	327	2349	1616	154	927	158	1075	1707	1219	697	377	582	242	372	3689	950	235	371	435	229	784	375	319
"otu197"	1264	1687	2989	137	894	146	545	1289	643	1472	1662	199	3739	684	389	1086	503	640	2493	261	166	720	937	98	591	241	1602	1791	669	527
"otu198"	427	1406	1906	1356	334	2721	553	280	1095	1317	170	519	943	1385	564	305	702	1092	407	978	508	362	446	1199	83	258	793	122	775	496
"otu199"	46	1340	3997	660	52	141	100	242	343	334	58	131	254	369	297	218	1782	7230	97	749	593	791	67	2743	343	107	3981	1592	2060	95
"otu2"	2624	700	1013	1687	225	117	2228	1274	362	238	616	207	774	1484	227	345	1760	124	1106	738	1901	170	1050	42	2563	390	1079	150	588	1102
"otu20"	1175	506	1496	170	400	2032	302	599	157	1756	378	4108	2016	332	614	124	2312	814	1338	305	483	1387	574	1470	727	1110	504	138	876	1057
"otu200"	1614	444	1651	394	610	183	1783	482	55	816	570	1154	252	6236	709	548	306	99	445	940	186	1290	283	781	866	212	98	752	759	460
"otu201"	53	570	510	431	1252	611	103	562	1754	252	3344	1887	344	556	143	306	3493	884	303	648	261	68	1232	1116	798	204	194	412	428	2574
"otu202"	698	350	694	1482	74	140	669	899	533	1047	1351	342	581	409	103	1301	159	1587	216	243	586	460	378	296	1538	319	64	61	1164	86
"otu203"	227	840	156	338	114	57	1955	1475	298	1694	683	847	138	231	354	167	8505	1175	833	166	4396	2435	788	832	7647	729	170	268	77	6304
"otu204"	89	317	437	1992	472	654	1411	497	1909	164	187	522	218	744	505	302	289	572	1242	1493	1091	704	289	982	1151	656	5941	879	647	394
"otu205"	4689	75	306	503	897	2573	81	2151	958	626	2119	220	420	294	1568	176	786	425	862	5898	1104	36321	924	1569	922	2455	1287	153	792	1593
"otu206"	1042	221	437	2573	646	741	760	5322	375	419	2078	517	267	155	1161	239	1066	1728	583	1979	112	1747	437	4715	790	830	211	518	426	1246
"otu207"	1515	139	314	422	321	146	1755	2061	121	2946	262	1936	600	1068	6296	681	696	911	2395	567	416	629	768	81	713	270	3216	388	278	253
"otu208"	237	128	401	285	413	2609	862	2408	451	225	153	954	526	932	753	299	184	739	660	659	311	2189	260	1466	390	208	390	45	3126	851
"otu209"	1528	709	206	1541	408	5078	759	1043	354	5482	1474	223	933	425	275	1551	473	437	135	424	225	142	1955	653	516	101	1163	111	305	4024
"otu21"	494	518	2425	206	105	877	226	298	505	242	252	1812	848	317	31	163	1821	987	736	742	263	479	858	372	360	3657	2052	237	343	281
"otu210"	435	828	123	438	1428	565	409	1991	1074	937	980	280	10437	1487	522	784	934	613	541	2114	888	132	266	42	2293	362	364	535	261	521
"otu211"	51	602	460	997	490	1030	731	332	217	342	762	732	306	277	916	2139	950	307	508	3594	1100	9972	190	338	591	53	906	979	396	51
"otu212"	960	523	1294	282	349	649	119	90	580	1213	199	116	142	276	662	1126	1187	564	281	271	880	679	176	286	735	550	207	3511	1361	655
"otu213"	667	9498	1350	1405	1782	309	153	281	260	734	3104	510	301	194	217	442	345	908	272	6280	362	576	1038	350	2092	296	785	642	1019	82
"otu214"	1126	647	2174	2094	916	238	138	814	378	263	872	1205	1517	71	772	2593	11544	330	115	430	58	821	4049	288	139	285	439	503	869	297
"otu215"	2258	4781	2584	2073	1219	479	829	477	566	276	1104	320	628	364	176	410	1494	1890	410	292	226	300	348	1002	396	4563	655	212	398	1819
"otu216"	1655	171	2380	129	551	1134	511	464	509	7347	362	263	1941	1755	488	298	210	172	1660	750	2457	128	554	2205	3134	332	160	2754	241	473
"otu217"	213	413	741	5581	504	740	121	230	109	186	122	287	998	1397	544	765	316	401	686	364	1868	315	137	1558	1525	1003	45	1868	302	264
"otu218"	2859	121	382	1366	930	631	5870	428	569	232	2111	842	415	2046	1125	360	586	562	2618	611	471	3632	2952	2791	758	206	767	1053	480	805
"otu219"	1180	220	413	1562	1001	836	2383	1329	126	219	426	3820	567	162	574	1556	78	555	274	61	1315	1085	685	657	135	242	527	1498	2104	590
"otu22"	1061	1002	1400	514	222	241	154	56	343	1567	4586	580	1025	849	773	1755	493	3562	1323	373	751	1910	791	975	344	910	182	870	177	883
"otu220"	1135	881	134	573	189	290	1081	313	484	7438	49	6241	1542	6070	1226	673	1897	387	345	98	1538	515	629	1228	252	247	1362	441	227	317
"otu221"	178	316	349	1268	356	139	779	387	685	4263	879	842	423	1913	188	218	415	3103	255	307	1363	242	1584	918	54	1314	93	1018	173	4688
"otu222"	324	4183	928	575	876	228	478	462	405	2201	746	6411	879	573	71	2676	618	1058	715	1178	57	24	1599	871	240	639	4090	2055	1404	209
"otu223"	208	356	1629	112	825	596	797	1319	655	453	324	1820	289	399	516	1286	438	683	248	545	1151	116	1843	343	235	327	1356	190	617	1429
"otu224"	3313	864	136	399	1145	325	176	7236	355	2941	275	569	193	138	443	1124	529	2082	822	279	978	117	2750	255	852	188	106	441	241	354
"otu225"	1144	988	527	854	2349	788	2195	1414	10715	726	2407	180	3574	516	1131	253	4451	373	729	413	770	2862	1103	441	2858	267	527	61	269	7253
"otu226"	648	8561	637	821	1704	680	203	841	184	104	730	1372	403	332	674	1150	521	246	133	962	608	135	398	408	1487	348	532	3095	356	814
"otu227"	381	727	1111	218	550	494	1010	467	773	685	973	726	1126	517	344	2812	2944	1296	305	450	254	583	1473	210	622	1222	5007	973	627	485
"otu228"	197	1611	256	97	519	320	455	726	417	67	127	507	178	311	663	446	499	641	305	57	635	244	1091	856	76	1420	1222	478	204	261
"otu229"	418	720	102	1093	983	899	3071	624	264	602	3882	230	347	414	920	435	492	389	148	1606	892	410	1041	1846	1463	1199	504	2453	2535	1456
"otu23"	763	1145	839	323	1395	1017	390	269	6258	2184	574	164	1745	523	296	1294	205	1763	1161	620	560	1004	7468	793	86	597	683	1571	91	781
"otu230"	545	509	578	455	153	641	1935	200	219	2059	648	1779	829	1579	567	1077	281	169	1145	642	656	2143	462	3258	436	255	484	1477	143	806
"otu231"	4131	307	983	948	1279	716	155	154	1981	71	546	2415	163	269	234	1506	198	883	418	667	330	329	177	772	1635	225	962	2126	3933	1107
"otu232"	1654	364	1290	723	1104	469	10335	173	440	269	1117	471	947	264	4178	196	524	269	187	96	305	357	2612	203	291	276	151	837	1453	572
"otu233"	399	932	633	194	503	630	159	1392	2916	2830	1457	775	558	335	771	230	1861	2051	2584	1143	721	114	293	1297	243	135	211	454	1611	2273
"otu234"	1757	171	1119	505	373	450	1063	25	647	192	607	734	2260	530	820	713	3109	433	131	789	1011	2645	1606	600	764	906	302	271	2571	546
"otu235"	2816	1303	478	2115	829	1965	87	869	550	539	169	305	163	376	134	3142	409	142	396	1239	98	240	607	2042	369	806	558	1230	387	688
"otu236"	793	1027	550	1441	263	930	2196	5427	1459	891	195	137	985	628	735	581	139	1344	493	862	180	197	197	342	258	3028	1587	3008	404	1636
"otu237"	954	320	134	768	213	385	226	113	457	537	385	703	257	311	874	1683	383	153	2115	613	43	1158	2943	1579	1622	581	120	799	344	1215
"otu238"	716	614	244	521	1182	1031	175	832	381	351	543	631	406	262	281	156	193	938	1707	866	1118	376	484	2300	1637	1063	382	251	160	458
"otu239"	1136	239	265	1240	151	1042	1485	637	1103	2608	213	492	560	64	331	11389	1479	215	803	991	477	87	702	234	1230	1268	271	2837	1974	242
"otu24"	890	564	413	3203	296	209	137	3126	1547	175	944	491	344	1101	92	226	1223	1375	795	1125	556	318	1998	807	76	897	2719	303	3972	324
"otu240"	58	1007	250	223	1194	1077	239	961	304	116	398	6195	101	483	1355	815	824	289	1016	3283	1604	4165	1485	670	671	203	691	301	282	397
"otu241"	1453	129	336	108	149	234	533	1445	542	378	574	879	763	164	687	238	1667	1084	165	658	2564	911	600	663	593	3762	202	3266	981	451
"otu242"	2463	508	1082	1405	330	311	449	100	596	243	356	2076	1847	2514	351	540	1014	3737	218	2672	1493	280	585	266	344	1058	425	2259	370	3565
"otu243"	208	1442	3166	342	116	122	41	955	1510	857	827	792	437	1028	921	3600	198	754	680	738	780	1658	3454	1043	218	255	1106	2739	1339	809
"otu244"	337	3471	36	999	212	4944	1513	1178	653	74	5829	304	455	924	160	222	1354	271	209	457	6925	737	611	605	2317	213	9854	96	1307	379
"otu245"	738	3018	1737	769	448	135	568	1093	1178	341	1069	1536	695	1083	252	868	8061	1007	979	113	1864	39	427	972	1683	460	63	232	972	731
"otu246"	140	490	3667	324	1037	672	218	771	407	487	533	502	2370	10495	3307	272	408	208	2394	617	424	214	2561	645	1226	507	1206	2852	1583	1071
"otu247"	395	535	295	332	310	642	800	2985	136	843	136	1717	898	189	321	179	591	290	167	198	1456	195	154	141	860	756	211	877	1766	805
"otu248"	335	431	389	123	1761	513	718	963	3047	830	1110	1244	506	1491	545	208	525	1173	299	560	575	139	334	844	544	1458	683	188	186	1008
"otu249"	155	715	3397	171	312	656	537	1669	136	238	362	872	715	807	405	495	137	438	1231	6699	407	51	486	533	538	1008	172	562	481	1111
"otu25"	920	467	884	464	708	1358	1066	195	3034	1044	786	739	1262	183	693	628	577	2557	836	342	500	474	230	109	1298	675	291	412	2261	926
"otu250"	682	2121	254	711	67	1244	368	642	693	2247	934	861	784	177	4054	221	370	401	764	145	537	600	94	329	1255	177	547	1556	252	2047
"otu251"	377	780	96	45	249	729	1190	1077	972	194	992	542	613	398	394	183	429	1635	237	4746	550	2875	226	359	1131	118	2190	507	310	2526
"otu252"	370	706	247	318	114	741	775	960	2255	1208	1286	548	239	490	2598	825	558	651	733	775	2762	2393	6702	241	1394	476	591	359	177	405
"otu253"	528	1245	929	2358	387	1276	1812	1916	1571	688	23	408	667	841	91	297	2812	55	449	483	1070	715	1659	2118	6696	957	469	280	362	693
"otu254"	110	75	571	912	1327	194	516	1245	2243	237	133	753	212	1008	1724	155	174	1305	477	433	62	447	293	230	86	308	1533	1025	1036	163
"otu255"	1017	1936	1327	1572	318	360	1603	514	521	1253	401	93	84	1409	235	1603	1296	398	746	857	186	322	1017	903	281	845	245	1408	83	565
"otu256"	222	318	521	1446	195	465	190	432	406	513	2033	366	1960	842	594	981	335	776	211	4950	1272	481	2185	829	9176	926	941	177	698	16
"otu257"	653	113	569	54	80	534	176	2317	344	162	676	1011	543	457	809	1293	4457	3785	396	2868	941	201	1083	459	377	325	547	719	1689	197
"otu258"	331	710	539	2134	818	307	4723	368	200	587	1344	1293	295	1398	285	333	249	1409	339	2082	736	402	238	461	1103	277	603	594	951	305
"otu259"	510	465	152	722	650	138	549	1173	938	257	1228	2460	217	94	160	79	1434	1112	886	538	912	806	728	290	162	652	139	730	534	1378
"otu26"	1123	123	978	643	575	261	986	212	1321	841	1270	647	2675	251	672	408	179	422	414	1981	1437	184	1613	881	348	1996	934	698	677	1087
"otu260"	246	3648	61	852	272	1544	121	1754	731	222	1940	805	2231	1466	629	827	518	1088	701	57	530	969	726	117	510	1702	1916	688	309	1345
"otu261"	504	3110	2524	858	855	2849	755	364	146	1919	1408	626	1218	2934	584	200	715	771	525	498	1768	848	512	1299	838	1901	4198	1049	2850	831
